numero_declaracion,manifiesto,codigo,descripcion_mercaderia,item_nro,valor_item
IMP-CL-2023-0000040,MAN-2023-40692,3901.20.00,Polietileno de alta densidad,2,402615.44
IMP-CL-2023-0000040,MAN-2023-40692,3004.90.00,Medicamentos para uso humano,3,4884271.39
IMP-CL-2023-0000040,MAN-2023-40692,6203.42.00,Pantalones de mezclilla,4,28590.52
IMP-CL-2023-0000040,MAN-2023-40692,2710.12.00,Gasolina,5,2133808.38
IMP-CL-2023-0000041,MAN-2023-64592,2710.12.00,Gasolina,1,957076.12
IMP-CL-2023-0000041,MAN-2023-64592,6203.42.00,Pantalones de mezclilla,2,267366.4
IMP-CL-2024-0000042,MAN-2024-61987,1006.30.00,Arroz semiblanqueado,1,3193837.9
IMP-CL-2024-0000042,MAN-2024-61987,8528.72.00,Monitores y pantallas LCD,2,265247.6
IMP-ES-2023-0000043,MAN-2023-32185,2204.21.00,Vino tinto en botellas,1,355665.46
IMP-ES-2023-0000043,MAN-2023-32185,0901.11.00,Café sin tostar,2,2607634.2
IMP-ES-2023-0000043,MAN-2023-32185,6109.10.00,Camisetas de algodón,3,2068429
IMP-ES-2023-0000043,MAN-2023-32185,8544.42.00,Conductores eléctricos con conector,4,584521.35
IMP-ES-2023-0000043,MAN-2023-32185,7606.11.00,Chapas y hojas de aluminio,5,147397.24
IMP-CL-2023-0000044,MAN-2023-12061,2710.12.00,Gasolina,1,226577.52
IMP-CL-2024-0000045,MAN-2024-66873,6109.10.00,Camisetas de algodón,1,5821763.64
IMP-CL-2024-0000045,MAN-2024-66873,3901.20.00,Polietileno de alta densidad,2,148504.56
IMP-CL-2024-0000045,MAN-2024-66873,0901.11.00,Café sin tostar,3,393527
IMP-CL-2024-0000045,MAN-2024-66873,8471.30.00,Computadores portátiles,4,357995.44
IMP-CL-2024-0000045,MAN-2024-66873,3002.20.00,Vacunas para medicina humana,5,1024312.5
IMP-ES-2022-0000046,MAN-2022-28343,8703.23.00,Automóviles de turismo,1,993985.24
IMP-ES-2022-0000046,MAN-2022-28343,4011.10.00,Neumáticos para automóviles,2,533003.52
IMP-CL-2023-0000047,MAN-2023-27367,6203.42.00,Pantalones de mezclilla,1,5767978.23
IMP-CL-2023-0000047,MAN-2023-27367,8528.72.00,Monitores y pantallas LCD,2,152248
IMP-CL-2023-0000047,MAN-2023-27367,1006.30.00,Arroz semiblanqueado,3,5985321.72
IMP-CL-2023-0000047,MAN-2023-27367,3004.90.00,Medicamentos para uso humano,4,864307.08
IMP-CL-2024-0000048,MAN-2024-87831,2710.12.00,Gasolina,1,1513830.5
IMP-CL-2024-0000048,MAN-2024-87831,3002.20.00,Vacunas para medicina humana,2,2746252.08
IMP-CL-2024-0000048,MAN-2024-87831,8474.20.00,Maquinaria trituradora de minerales,3,2163842.38
IMP-CL-2024-0000048,MAN-2024-87831,8471.30.00,Computadores portátiles,4,30693.53
IMP-CL-2024-0000048,MAN-2024-87831,8528.72.00,Monitores y pantallas LCD,5,2326258.26
IMP-ES-2022-0000049,MAN-2022-57843,3004.90.00,Medicamentos para uso humano,1,2159008.38
IMP-CL-2023-0000050,MAN-2023-81256,7208.51.00,Productos planos de hierro laminado,1,5133526.86
IMP-CL-2022-0000051,MAN-2022-50880,8701.20.00,Tractores de carretera,1,5601184.16
IMP-CL-2022-0000051,MAN-2022-50880,8517.12.00,Teléfonos inteligentes,2,5913022.5
IMP-CL-2022-0000051,MAN-2022-50880,3004.90.00,Medicamentos para uso humano,3,9246.05
IMP-VN-2023-0000052,MAN-2023-90492,7606.11.00,Chapas y hojas de aluminio,1,3868157.6
IMP-VN-2023-0000052,MAN-2023-90492,8474.20.00,Maquinaria trituradora de minerales,2,166778.16
IMP-VN-2023-0000052,MAN-2023-90492,7208.51.00,Productos planos de hierro laminado,3,279557.87
IMP-CL-2024-0000053,MAN-2024-90541,8703.23.00,Automóviles de turismo,1,4075912.96
IMP-CL-2024-0000053,MAN-2024-90541,6109.10.00,Camisetas de algodón,2,386714.64
IMP-CL-2022-0000054,MAN-2022-63626,0901.11.00,Café sin tostar,1,526950.84
IMP-CL-2022-0000054,MAN-2022-63626,8474.20.00,Maquinaria trituradora de minerales,2,559709.98
IMP-CL-2024-0000055,MAN-2024-49021,4011.10.00,Neumáticos para automóviles,1,191044
IMP-CL-2023-0000056,MAN-2023-52217,8474.20.00,Maquinaria trituradora de minerales,1,4702912.2
IMP-CL-2023-0000056,MAN-2023-52217,6203.42.00,Pantalones de mezclilla,2,2082743.28
IMP-CL-2023-0000056,MAN-2023-52217,8703.23.00,Automóviles de turismo,3,662693.08
IMP-CL-2023-0000056,MAN-2023-52217,2204.21.00,Vino tinto en botellas,4,1293709.86
IMP-ES-2024-0000057,MAN-2024-55054,6109.10.00,Camisetas de algodón,1,3874334.75
IMP-ES-2024-0000057,MAN-2024-55054,3002.20.00,Vacunas para medicina humana,2,553763.06
IMP-ES-2024-0000057,MAN-2024-55054,3004.90.00,Medicamentos para uso humano,3,2969878.56
IMP-ES-2024-0000057,MAN-2024-55054,7208.51.00,Productos planos de hierro laminado,4,5000262.08
IMP-ES-2024-0000057,MAN-2024-55054,8528.72.00,Monitores y pantallas LCD,5,1290093.21
IMP-ES-2022-0000058,MAN-2022-22475,8474.20.00,Maquinaria trituradora de minerales,1,6124311.2
IMP-CL-2022-0000059,MAN-2022-63963,2710.12.00,Gasolina,1,654.3
IMP-CL-2022-0000059,MAN-2022-63963,7208.51.00,Productos planos de hierro laminado,2,2157488.96
IMP-CL-2022-0000060,MAN-2022-24777,4011.10.00,Neumáticos para automóviles,1,2156723.36
IMP-CL-2022-0000061,MAN-2022-93956,1006.30.00,Arroz semiblanqueado,1,5550518.61
IMP-CL-2022-0000061,MAN-2022-93956,8429.51.00,Cargadores frontales,2,1185306.48
IMP-CL-2022-0000061,MAN-2022-93956,3004.90.00,Medicamentos para uso humano,3,909940.5
IMP-CL-2022-0000062,MAN-2022-31884,8528.72.00,Monitores y pantallas LCD,1,6049287.18
IMP-CL-2022-0000062,MAN-2022-31884,2710.12.00,Gasolina,2,1349697.25
IMP-CL-2022-0000062,MAN-2022-31884,8703.23.00,Automóviles de turismo,3,2864939.07
IMP-ES-2022-0000063,MAN-2022-82465,3002.20.00,Vacunas para medicina humana,1,130403.46
IMP-ES-2022-0000063,MAN-2022-82465,6109.10.00,Camisetas de algodón,2,4327005
IMP-ES-2022-0000063,MAN-2022-82465,2710.12.00,Gasolina,3,297890
IMP-CL-2023-0000064,MAN-2023-63744,6109.10.00,Camisetas de algodón,1,467206.58
IMP-CL-2023-0000064,MAN-2023-63744,8528.72.00,Monitores y pantallas LCD,2,369396.72
IMP-CL-2023-0000064,MAN-2023-63744,2204.21.00,Vino tinto en botellas,3,1387708.45
IMP-CL-2023-0000065,MAN-2023-21128,1006.30.00,Arroz semiblanqueado,1,11386.35
IMP-VN-2024-0000066,MAN-2024-21851,8528.72.00,Monitores y pantallas LCD,1,4917634.2
IMP-VN-2024-0000066,MAN-2024-21851,4011.10.00,Neumáticos para automóviles,2,534630.84
IMP-VN-2024-0000066,MAN-2024-21851,8517.12.00,Teléfonos inteligentes,3,2063143.28
IMP-VN-2024-0000066,MAN-2024-21851,3002.20.00,Vacunas para medicina humana,4,2425047.96
IMP-CL-2022-0000067,MAN-2022-58790,8528.72.00,Monitores y pantallas LCD,1,2649919.68
IMP-CL-2022-0000067,MAN-2022-58790,6203.42.00,Pantalones de mezclilla,2,195611.51
IMP-CL-2023-0000068,MAN-2023-94840,8528.72.00,Monitores y pantallas LCD,1,1380918.84
IMP-CL-2024-0000069,MAN-2024-30922,3004.90.00,Medicamentos para uso humano,1,993266.08
IMP-CL-2024-0000069,MAN-2024-30922,8429.51.00,Cargadores frontales,2,3227807.55
IMP-CL-2024-0000069,MAN-2024-30922,3002.20.00,Vacunas para medicina humana,3,4816372.51
IMP-CL-2023-0000070,MAN-2023-74282,6203.42.00,Pantalones de mezclilla,1,3746237.45
IMP-CL-2023-0000071,MAN-2023-93789,2710.12.00,Gasolina,1,4961.25
IMP-CL-2024-0000072,MAN-2024-37483,8701.20.00,Tractores de carretera,1,995101.38
IMP-CL-2024-0000072,MAN-2024-37483,3004.90.00,Medicamentos para uso humano,2,5119091.46
IMP-CL-2024-0000072,MAN-2024-37483,0901.11.00,Café sin tostar,3,1728752.34
IMP-CL-2024-0000072,MAN-2024-37483,3901.20.00,Polietileno de alta densidad,4,5718853.45
IMP-CL-2024-0000072,MAN-2024-37483,8429.51.00,Cargadores frontales,5,46569.97
IMP-CL-2023-0000073,MAN-2023-19830,8517.12.00,Teléfonos inteligentes,1,1302626.16
IMP-CL-2024-0000074,MAN-2024-13373,8701.20.00,Tractores de carretera,1,258601.72
IMP-CL-2024-0000074,MAN-2024-13373,3002.20.00,Vacunas para medicina humana,2,1426072.14
IMP-CL-2024-0000074,MAN-2024-13373,8544.42.00,Conductores eléctricos con conector,3,2968865.55
IMP-CL-2024-0000074,MAN-2024-13373,8517.12.00,Teléfonos inteligentes,4,5191394.94
IMP-CL-2023-0000075,MAN-2023-87296,0901.11.00,Café sin tostar,1,2399152.08
IMP-VN-2024-0000076,MAN-2024-21406,3901.20.00,Polietileno de alta densidad,1,183805.16
IMP-VN-2024-0000076,MAN-2024-21406,7606.11.00,Chapas y hojas de aluminio,2,5931289.28
IMP-VN-2024-0000076,MAN-2024-21406,6203.42.00,Pantalones de mezclilla,3,135657
IMP-VN-2024-0000076,MAN-2024-21406,4011.10.00,Neumáticos para automóviles,4,3583775.58
IMP-ES-2023-0000077,MAN-2023-54284,7208.51.00,Productos planos de hierro laminado,1,479918.82
IMP-ES-2023-0000077,MAN-2023-54284,8471.30.00,Computadores portátiles,2,2567530.83
IMP-ES-2023-0000077,MAN-2023-54284,2710.12.00,Gasolina,3,5629930.87
IMP-ES-2023-0000077,MAN-2023-54284,3002.20.00,Vacunas para medicina humana,4,721482.84
IMP-ES-2023-0000077,MAN-2023-54284,8474.20.00,Maquinaria trituradora de minerales,5,3379964.82
IMP-VN-2023-0000078,MAN-2023-36309,6203.42.00,Pantalones de mezclilla,1,311479.8
IMP-CL-2022-0000079,MAN-2022-98826,8703.23.00,Automóviles de turismo,1,2940761.86
IMP-CL-2022-0000079,MAN-2022-98826,6109.10.00,Camisetas de algodón,2,1945097.16
IMP-CL-2022-0000079,MAN-2022-98826,2204.21.00,Vino tinto en botellas,3,654131.2
IMP-VN-2024-0000080,MAN-2024-73142,7606.11.00,Chapas y hojas de aluminio,1,930913.13
IMP-ES-2023-0000081,MAN-2023-32280,6109.10.00,Camisetas de algodón,1,597845.71
IMP-ES-2023-0000081,MAN-2023-32280,0901.11.00,Café sin tostar,2,1673542.44
IMP-ES-2023-0000081,MAN-2023-32280,8703.23.00,Automóviles de turismo,3,5311659.08
IMP-CL-2023-0000082,MAN-2023-64146,6109.10.00,Camisetas de algodón,1,5352887.75
IMP-CL-2023-0000082,MAN-2023-64146,3901.20.00,Polietileno de alta densidad,2,4946461.65
IMP-CL-2023-0000083,MAN-2023-12348,7208.51.00,Productos planos de hierro laminado,1,1249030
IMP-CL-2023-0000083,MAN-2023-12348,8429.51.00,Cargadores frontales,2,428435.28
IMP-CL-2023-0000083,MAN-2023-12348,1006.30.00,Arroz semiblanqueado,3,2419.8
IMP-CL-2023-0000083,MAN-2023-12348,8701.20.00,Tractores de carretera,4,443958.24
IMP-CL-2023-0000083,MAN-2023-12348,8528.72.00,Monitores y pantallas LCD,5,1007347.8
IMP-ES-2023-0000084,MAN-2023-26143,8429.51.00,Cargadores frontales,1,2279215.86
IMP-ES-2023-0000084,MAN-2023-26143,8474.20.00,Maquinaria trituradora de minerales,2,85023.9
IMP-ES-2023-0000084,MAN-2023-26143,3004.90.00,Medicamentos para uso humano,3,107521.2
IMP-CL-2023-0000085,MAN-2023-15164,8517.12.00,Teléfonos inteligentes,1,617974.26
IMP-CL-2023-0000085,MAN-2023-15164,8544.42.00,Conductores eléctricos con conector,2,1301880
IMP-CL-2023-0000085,MAN-2023-15164,8474.20.00,Maquinaria trituradora de minerales,3,1067392.55
IMP-CL-2023-0000085,MAN-2023-15164,8471.30.00,Computadores portátiles,4,829936.8
IMP-CL-2023-0000085,MAN-2023-15164,4011.10.00,Neumáticos para automóviles,5,3662969.44
IMP-ES-2023-0000086,MAN-2023-22451,6203.42.00,Pantalones de mezclilla,1,462387.6
IMP-ES-2023-0000086,MAN-2023-22451,8471.30.00,Computadores portátiles,2,714217.41
IMP-ES-2023-0000086,MAN-2023-22451,4011.10.00,Neumáticos para automóviles,3,2543900.66
IMP-VN-2022-0000087,MAN-2022-64529,1006.30.00,Arroz semiblanqueado,1,3009673.72
IMP-VN-2022-0000087,MAN-2022-64529,2204.21.00,Vino tinto en botellas,2,1286195.24
IMP-CL-2024-0000088,MAN-2024-19812,2204.21.00,Vino tinto en botellas,1,3458325.12
IMP-CL-2024-0000088,MAN-2024-19812,8471.30.00,Computadores portátiles,2,2809693.25
IMP-CL-2024-0000088,MAN-2024-19812,8429.51.00,Cargadores frontales,3,23025.84
IMP-CL-2024-0000088,MAN-2024-19812,7606.11.00,Chapas y hojas de aluminio,4,1586064.48
IMP-CL-2023-0000089,MAN-2023-39218,8517.12.00,Teléfonos inteligentes,1,2722239.06
IMP-CL-2023-0000089,MAN-2023-39218,2710.12.00,Gasolina,2,2537484.66
IMP-CL-2023-0000089,MAN-2023-39218,6203.42.00,Pantalones de mezclilla,3,282565.03
IMP-CL-2024-0000090,MAN-2024-54293,7208.51.00,Productos planos de hierro laminado,1,3846066.34
IMP-CL-2024-0000090,MAN-2024-54293,8474.20.00,Maquinaria trituradora de minerales,2,10253.88
IMP-CL-2024-0000090,MAN-2024-54293,4011.10.00,Neumáticos para automóviles,3,4041146.5
IMP-ES-2022-0000091,MAN-2022-81802,8474.20.00,Maquinaria trituradora de minerales,1,3698795.36
IMP-ES-2022-0000091,MAN-2022-81802,7208.51.00,Productos planos de hierro laminado,2,3004471.2
IMP-ES-2022-0000091,MAN-2022-81802,4011.10.00,Neumáticos para automóviles,3,3984596.68
IMP-ES-2022-0000091,MAN-2022-81802,2710.12.00,Gasolina,4,3775812.8
IMP-ES-2022-0000091,MAN-2022-81802,8429.51.00,Cargadores frontales,5,3616577.34
IMP-CL-2023-0000092,MAN-2023-23432,0901.11.00,Café sin tostar,1,633330.88
IMP-CL-2023-0000092,MAN-2023-23432,2204.21.00,Vino tinto en botellas,2,1527382.98
IMP-CL-2023-0000092,MAN-2023-23432,8429.51.00,Cargadores frontales,3,2560597.13
IMP-CL-2023-0000092,MAN-2023-23432,8701.20.00,Tractores de carretera,4,3643924.5
IMP-CL-2023-0000092,MAN-2023-23432,1006.30.00,Arroz semiblanqueado,5,3882310.3
IMP-CL-2024-0000093,MAN-2024-10739,8517.12.00,Teléfonos inteligentes,1,3071105.44
IMP-CL-2024-0000093,MAN-2024-10739,3004.90.00,Medicamentos para uso humano,2,5140190
IMP-CL-2024-0000093,MAN-2024-10739,4011.10.00,Neumáticos para automóviles,3,4101743.25
IMP-CL-2022-0000094,MAN-2022-83575,8544.42.00,Conductores eléctricos con conector,1,2986381.44
IMP-CL-2022-0000094,MAN-2022-83575,8517.12.00,Teléfonos inteligentes,2,1516511.4
IMP-CL-2022-0000094,MAN-2022-83575,0901.11.00,Café sin tostar,3,4268496.3
IMP-CL-2023-0000095,MAN-2023-36945,8544.42.00,Conductores eléctricos con conector,1,5602270.66
