numero_declaracion,fecha_declaracion,pais_importacion,aduana,importador_nombre,importador_tax_id,exportador_pais,via_transporte,naviera,nombre_nave,numero_bl,puerto_origen,fecha_embarque,fecha_arribo,dias_transito,numero_manifiesto,contenedores,tipo_contenedor,num_contenedores,peso_bruto_kg,volumen_m3,bultos,num_items,items_detalle,valor_fob_usd,flete_usd,seguro_usd,valor_cif_usd,tasa_advalorem_pct,derechos_advalorem,iva,total_tributos,moneda,canal,estado,fecha_liquidacion
IMP-CL-2024-0000011,2024-07-20,CL,VALPARAISO,Comercial Atacama S.A.,22.690.330-0,GB,MARITIMO,CMA CGM,CMA CGM MARCO POLO,CMA732276010,PORT KLANG,2024-06-30,2024-07-17,20,MAN-2024-41186,TRHU4623062|HLXU6512314,DRY 40',2,22187.7,43.74,577,2,1:8544.42.00:Conductores eléctricos con conector:26:306905.30USD | 2:8471.30.00:Computadores portátiles:125:1854053.75USD,2160959.05,149860.14,15239.2,2326058.39,18.0,418690.51,521502.29,940192.8,USD,AMARILLO,ACEPTADO,2024-07-23
IMP-ES-2022-0000012,2022-12-23,ES,BARCELONA,Mercadona S.A.,ES20843514L,KR,MARITIMO,ONE (Ocean Network Express),ONE STORK,ONE235497187,GUANGZHOU,2022-11-27,2022-12-22,26,MAN-2022-18609,TRHU1727544|APHU6060517,REEFER 20',2,18191.9,7.02,990,2,1:3002.20.00:Vacunas para medicina humana:59:660063.68USD | 2:2710.12.00:Gasolina:244:1642034.60USD,2302098.28,110735.41,25177.27,2438010.96,6.0,146280.66,542701.24,688981.9,EUR,VERDE,EN REVISIÓN,
IMP-CL-2023-0000013,2023-10-28,CL,IQUIQUE,Minera Collahuasi S.A.,79.674.816-0,NL,MARITIMO,MSC,ONE STORK,MSC231244840,GUANGZHOU,2023-09-28,2023-10-25,30,MAN-2023-97819,OOLU2595275|EISU8159911|EISU5276341|EISU3560856,OPEN TOP 20',4,25882.1,9.36,184,5,1:0901.11.00:Café sin tostar:407:4285575.69USD | 2:7208.51.00:Productos planos de hierro laminado:437:4293153.55USD | 3:2710.12.00:Gasolina:450:5191537.50USD | 4:3002.20.00:Vacunas para medicina humana:370:4803980.10USD | 5:8474.20.00:Maquinaria trituradora de minerales:221:1498117.01USD,20072363.85,831491.22,168393.41,21072248.48,6.0,1264334.91,4243950.84,5508285.75,USD,AMARILLO,ACEPTADO,2023-11-01
IMP-ES-2024-0000014,2024-05-16,ES,ALGECIRAS,Telefónica S.A.,ES55610493M,CN,MARITIMO,Maersk Line,PIL SINGAPORE,MAER253815116,PORT KLANG,2024-04-01,2024-05-13,45,MAN-2024-33777,HLXU2815603|EISU7166651|MSKU5673599|TRHU4794319,REEFER 20',4,23741.8,68.35,1150,1,1:0901.11.00:Café sin tostar:308:1445631.88USD,1445631.88,50857.37,14563.48,1511052.73,6.0,90663.16,336360.34,427023.5,EUR,VERDE,ACEPTADO,2024-05-21
IMP-ES-2022-0000015,2022-05-23,ES,BILBAO,Telefónica S.A.,ES38933176S,JP,MARITIMO,Hapag-Lloyd,YANG MING WIND,HAPA561616250,HO CHI MINH,2022-05-01,2022-05-20,22,MAN-2022-55242,YMLU6442241|TRHU2425342|MSCU3610197,DRY 40',3,21247.0,8.23,177,1,1:8528.72.00:Monitores y pantallas LCD:383:3049423.02USD,3049423.02,148841.48,29080.69,3227345.19,6.0,193640.71,718407.04,912047.75,EUR,VERDE,ACEPTADO,2022-05-24
IMP-CL-2024-0000016,2024-09-23,CL,IQUIQUE,Comercial Atacama S.A.,63.548.403-0,MY,MARITIMO,HMM,HMM ALGECIRAS,HMM436146289,LOS ANGELES,2024-08-20,2024-09-20,34,MAN-2024-20205,COSU8225192,DRY 40',1,4052.6,39.62,481,3,1:8517.12.00:Teléfonos inteligentes:307:255172.26USD | 2:6203.42.00:Pantalones de mezclilla:105:475469.40USD | 3:3004.90.00:Medicamentos para uso humano:109:1254870.13USD,1985511.79,135427.88,15674.57,2136614.24,0.0,0.0,405956.71,405956.71,USD,VERDE,EN REVISIÓN,
IMP-ES-2024-0000017,2024-05-29,ES,VIGO,Repsol S.A.,ES41711468D,KR,MARITIMO,COSCO Shipping,PACIFIC CARRIER,COSC311818984,LOS ANGELES,2024-04-23,2024-05-27,36,MAN-2024-43550,APHU2319479|OOLU6205543|EISU4717362|EISU3820798,DRY 20',4,14538.3,12.41,1054,4,1:0901.11.00:Café sin tostar:495:2414748.60USD | 2:8474.20.00:Maquinaria trituradora de minerales:411:5842258.14USD | 3:3004.90.00:Medicamentos para uso humano:236:2945768.52USD | 4:8471.30.00:Computadores portátiles:471:2559494.07USD,13762269.33,713375.34,83380.52,14559025.19,6.0,873541.51,3240839.01,4114380.52,EUR,VERDE,RECHAZADO,
IMP-CL-2022-0000018,2022-11-10,CL,SAN ANTONIO,Comercial Atacama S.A.,54.491.122-4,DE,MARITIMO,Evergreen Marine,HMM ALGECIRAS,EVER196955134,NINGBO,2022-09-29,2022-11-07,42,MAN-2022-94497,TRHU6422534|EISU3532644|COSU2145653|COSU8419020,OPEN TOP 20',4,8827.6,22.85,125,1,1:8701.20.00:Tractores de carretera:488:5658355.12USD,5658355.12,309545.13,70981.0,6038881.25,18.0,1086998.62,1353917.18,2440915.8,USD,VERDE,ACEPTADO,2022-11-15
IMP-ES-2024-0000019,2024-11-04,ES,VIGO,Telefónica S.A.,ES43822301Z,KR,MARITIMO,Evergreen Marine,MAERSK EDINBURGH,EVER187512088,ANTWERP,2024-10-05,2024-11-02,30,MAN-2024-53694,COSU9792411|APHU3663319|EISU7255418|YMLU7499771,REEFER 20',4,21797.8,49.13,117,5,1:3901.20.00:Polietileno de alta densidad:310:2213300.80USD | 2:8517.12.00:Teléfonos inteligentes:78:1120568.28USD | 3:7208.51.00:Productos planos de hierro laminado:231:360704.19USD | 4:8703.23.00:Automóviles de turismo:461:5791211.08USD | 5:1006.30.00:Arroz semiblanqueado:366:466316.94USD,9952101.29,620079.15,53655.97,10625836.41,15.0,1593875.46,2566139.49,4160014.95,EUR,VERDE,LIQUIDADO,2024-11-09
IMP-CL-2022-0000020,2022-10-17,CL,PUERTO MONTT,Viña Concha y Toro S.A.,10.066.382-K,NL,MARITIMO,MSC,COSCO SHIPPING UNIVERSE,MSC240712839,GUANGZHOU,2022-09-18,2022-10-15,29,MAN-2022-91006,APHU7070468|MSCU7083379|YMLU4024309|HLXU6733317,REEFER 20',4,5780.1,70.0,327,4,1:8429.51.00:Cargadores frontales:330:3919413.30USD | 2:8528.72.00:Monitores y pantallas LCD:417:802987.71USD | 3:0901.11.00:Café sin tostar:360:4476996.00USD | 4:3004.90.00:Medicamentos para uso humano:379:5668888.71USD,14868285.72,1124375.44,88236.28,16080897.44,15.0,2412134.62,3513676.09,5925810.71,USD,VERDE,LIQUIDADO,2022-10-22
IMP-CL-2022-0000021,2022-11-12,CL,ARICA,Arauco y Constitución S.A.,54.823.245-8,JP,MARITIMO,COSCO Shipping,SANTA URSULA,COSC233871736,ROTTERDAM,2022-10-20,2022-11-11,23,MAN-2022-77621,EISU8391997|COSU5727345,REEFER 20',2,14329.9,32.21,341,5,1:8701.20.00:Tractores de carretera:347:3746416.73USD | 2:7208.51.00:Productos planos de hierro laminado:497:3314264.38USD | 3:8517.12.00:Teléfonos inteligentes:146:1648097.64USD | 4:3002.20.00:Vacunas para medicina humana:402:2709250.86USD | 5:2204.21.00:Vino tinto en botellas:274:985068.36USD,12403097.97,970912.42,159301.7,13533312.09,18.0,2435996.18,3034168.57,5470164.75,USD,AMARILLO,ACEPTADO,2022-11-15
IMP-ES-2022-0000022,2022-11-25,ES,BARCELONA,Freixenet S.A.,ES80836292P,JP,MARITIMO,Maersk Line,COSCO SHIPPING UNIVERSE,MAER355164255,BUSAN,2022-10-30,2022-11-23,26,MAN-2022-47762,TCKU3308538|MSCU5813037|COSU3328554,OPEN TOP 20',3,13400.5,45.0,172,5,1:8429.51.00:Cargadores frontales:453:2378376.84USD | 2:3002.20.00:Vacunas para medicina humana:14:87210.20USD | 3:8528.72.00:Monitores y pantallas LCD:203:1529623.27USD | 4:6203.42.00:Pantalones de mezclilla:121:701634.23USD | 5:7208.51.00:Productos planos de hierro laminado:42:236457.48USD,4933302.02,154951.94,70586.96,5158840.92,18.0,928591.37,1278360.78,2206952.15,EUR,AMARILLO,LIQUIDADO,2022-11-28
IMP-CL-2022-0000023,2022-04-08,CL,VALPARAISO,Comercial Atacama S.A.,52.928.328-1,GB,MARITIMO,Maersk Line,MSC OSCAR,MAER886989426,TOKYO,2022-03-14,2022-04-06,25,MAN-2022-41604,APHU9511546,REEFER 40',1,15739.2,30.38,972,5,1:7208.51.00:Productos planos de hierro laminado:324:2506295.52USD | 2:8528.72.00:Monitores y pantallas LCD:124:1336841.52USD | 3:8474.20.00:Maquinaria trituradora de minerales:150:966643.50USD | 4:7606.11.00:Chapas y hojas de aluminio:315:1669093.65USD | 5:8471.30.00:Computadores portátiles:293:1832524.55USD,8311398.74,525434.7,48672.71,8885506.15,6.0,533130.37,1789540.94,2322671.31,USD,ROJO,ACEPTADO,2022-04-09
IMP-CL-2023-0000024,2023-11-12,CL,SAN VICENTE,Comercial Atacama S.A.,93.010.774-5,IT,MARITIMO,Hapag-Lloyd,MSC ISTANBUL,HAPA958287383,BUSAN,2023-10-21,2023-11-11,22,MAN-2023-26315,MSCU5923149|HLXU1734947|HLXU1703065|EISU6202210,REEFER 40',4,11451.2,58.0,979,3,1:3901.20.00:Polietileno de alta densidad:426:4979663.10USD | 2:1006.30.00:Arroz semiblanqueado:238:3501570.24USD | 3:8701.20.00:Tractores de carretera:246:2332011.12USD,10813244.46,763143.47,60889.44,11637277.37,18.0,2094709.93,2609077.59,4703787.52,USD,VERDE,EN REVISIÓN,
IMP-ES-2024-0000025,2024-06-13,ES,ALGECIRAS,Freixenet S.A.,ES68376726J,US,MARITIMO,Evergreen Marine,YANG MING WIND,EVER820678212,SHENZHEN,2024-05-14,2024-06-10,30,MAN-2024-19835,EISU2721307|MSKU6501583|YMLU6142147,REEFER 20',3,17072.1,32.7,919,4,1:3004.90.00:Medicamentos para uso humano:355:2651097.40USD | 2:1006.30.00:Arroz semiblanqueado:474:5669698.86USD | 3:8701.20.00:Tractores de carretera:137:1646631.77USD | 4:7606.11.00:Chapas y hojas de aluminio:373:2377222.25USD,12344650.28,636124.24,184564.64,13165339.16,6.0,789920.35,2930604.5,3720524.85,EUR,AMARILLO,EN REVISIÓN,
IMP-CL-2024-0000026,2024-04-11,CL,PUERTO MONTT,Falabella Retail S.A.,38.502.308-1,CN,MARITIMO,MSC,PIL SINGAPORE,MSC635844374,ROTTERDAM,2024-03-13,2024-04-08,29,MAN-2024-34385,EISU7423230|TRHU1543335|TRHU3574265,OPEN TOP 20',3,12872.9,29.11,919,2,1:8471.30.00:Computadores portátiles:435:3966121.20USD | 2:8429.51.00:Cargadores frontales:401:2637862.21USD,6603983.41,239800.55,48605.01,6892388.97,15.0,1033858.35,1505986.99,2539845.34,USD,VERDE,ACEPTADO,2024-04-16
IMP-ES-2022-0000027,2022-08-30,ES,BILBAO,SEAT S.A.,ES72734149V,KR,MARITIMO,COSCO Shipping,SANTA URSULA,COSC192573170,VALENCIA,2022-08-04,2022-08-28,26,MAN-2022-90209,MSKU5871470|YMLU3642499|TCKU7064832,REEFER 40',3,6666.6,69.03,294,4,1:8703.23.00:Automóviles de turismo:63:128807.91USD | 2:0901.11.00:Café sin tostar:38:257872.56USD | 3:7606.11.00:Chapas y hojas de aluminio:461:4934272.01USD | 4:8544.42.00:Conductores eléctricos con conector:45:547181.55USD,5868134.03,459932.97,87234.19,6415301.19,15.0,962295.18,1549295.24,2511590.42,EUR,VERDE,LIQUIDADO,2022-08-31
IMP-CL-2024-0000028,2024-03-26,CL,IQUIQUE,Falabella Retail S.A.,15.584.397-4,AR,MARITIMO,Evergreen Marine,PACIFIC CARRIER,EVER691461470,HONG KONG,2024-02-15,2024-03-23,40,MAN-2024-93238,TCKU8258130|APHU1929673,DRY 20',2,14747.8,24.77,341,4,1:2710.12.00:Gasolina:65:948088.05USD | 2:3002.20.00:Vacunas para medicina humana:329:369049.17USD | 3:4011.10.00:Neumáticos para automóviles:239:2438954.37USD | 4:8528.72.00:Monitores y pantallas LCD:177:342271.98USD,4098363.57,292839.09,43086.24,4434288.9,10.0,443428.89,926766.38,1370195.27,USD,VERDE,EN REVISIÓN,
IMP-CL-2022-0000029,2022-09-14,CL,IQUIQUE,Enap Refinerías S.A.,69.995.086-7,AR,MARITIMO,Hapag-Lloyd,YANG MING WIND,HAPA751396498,NINGBO,2022-08-07,2022-09-12,38,MAN-2022-54589,HLXU7989166|TRHU1508113|COSU5859883,OPEN TOP 20',3,26807.9,36.39,841,5,1:3901.20.00:Polietileno de alta densidad:88:869828.08USD | 2:8528.72.00:Monitores y pantallas LCD:369:4992935.31USD | 3:2710.12.00:Gasolina:173:2186636.96USD | 4:8701.20.00:Tractores de carretera:289:181347.50USD | 5:8429.51.00:Cargadores frontales:443:192846.76USD,8423594.61,271855.43,96151.44,8791601.48,10.0,879160.15,1837444.71,2716604.86,USD,AMARILLO,ACEPTADO,2022-09-16
IMP-ES-2023-0000030,2023-10-16,ES,ALGECIRAS,Iberdrola S.A.,ES38876195W,GB,MARITIMO,Yang Ming,MSC ISTANBUL,YANG154267347,NINGBO,2023-09-05,2023-10-14,41,MAN-2023-16377,EISU6246485|HLXU3673322,REEFER 20',2,27889.2,35.34,641,4,1:8429.51.00:Cargadores frontales:164:595918.60USD | 2:2204.21.00:Vino tinto en botellas:63:253222.20USD | 3:2710.12.00:Gasolina:127:269463.52USD | 4:8474.20.00:Maquinaria trituradora de minerales:26:113367.28USD,1231971.6,60622.23,13741.13,1306334.96,6.0,78380.1,290790.16,369170.26,EUR,ROJO,LIQUIDADO,2023-10-19
IMP-ES-2024-0000031,2024-08-21,ES,BILBAO,SEAT S.A.,ES55511258V,GB,MARITIMO,Hapag-Lloyd,ANDROMEDA LEADER,HAPA313736772,GUANGZHOU,2024-07-25,2024-08-18,27,MAN-2024-28909,MSCU7720644|MSCU4265774|EISU5841933,DRY 20',3,11124.6,34.27,1136,1,1:8474.20.00:Maquinaria trituradora de minerales:221:445907.28USD,445907.28,19273.74,3860.57,469041.59,6.0,28142.5,104408.66,132551.16,EUR,VERDE,ACEPTADO,2024-08-26
IMP-VN-2024-0000032,2024-10-21,VN,DA NANG,Vingroup JSC,VN6877052039,JP,MARITIMO,HMM,ANDROMEDA LEADER,HMM726745401,VALENCIA,2024-10-02,2024-10-20,19,MAN-2024-64596,EISU6344047|TCKU7592683,REEFER 40',2,20831.3,24.45,698,1,1:8429.51.00:Cargadores frontales:366:1830834.48USD,1830834.48,98292.39,17520.88,1946647.75,10.0,194664.78,214131.25,408796.03,USD,AMARILLO,ACEPTADO,2024-10-24
IMP-ES-2024-0000033,2024-08-29,ES,BARCELONA,Grupo Antolin S.A.,ES55946354V,GB,MARITIMO,HMM,ONE STORK,HMM928917719,ANTWERP,2024-08-03,2024-08-26,26,MAN-2024-98587,TCKU7928320|HLXU7884990|APHU8912226|MSCU3316639,REEFER 40',4,6201.9,26.13,989,5,1:4011.10.00:Neumáticos para automóviles:269:2539115.21USD | 2:6203.42.00:Pantalones de mezclilla:318:3695589.30USD | 3:8517.12.00:Teléfonos inteligentes:195:433906.20USD | 4:7606.11.00:Chapas y hojas de aluminio:349:1270544.97USD | 5:8701.20.00:Tractores de carretera:294:4181738.40USD,12120894.08,430228.42,62899.85,12614022.35,6.0,756841.34,2807881.37,3564722.71,EUR,ROJO,ACEPTADO,2024-09-01
IMP-CL-2024-0000034,2024-09-18,CL,SAN VICENTE,Codelco Chile,32.121.108-8,IT,MARITIMO,Evergreen Marine,PACIFIC CARRIER,EVER847508242,BARCELONA,2024-08-25,2024-09-17,24,MAN-2024-83664,YMLU3044708|TRHU7370211|OOLU6790398,DRY 40',3,8487.4,23.7,171,3,1:3901.20.00:Polietileno de alta densidad:483:7048868.19USD | 2:0901.11.00:Café sin tostar:153:1770194.70USD | 3:6203.42.00:Pantalones de mezclilla:361:1125269.49USD,9944332.38,648861.85,81249.25,10674443.48,6.0,640466.61,2149832.92,2790299.53,USD,AMARILLO,LIQUIDADO,2024-09-21
IMP-VN-2022-0000035,2022-08-12,VN,HANOI,Hoa Phat Group,VN8679232444,BR,MARITIMO,CMA CGM,ONE STORK,CMA140229006,SINGAPORE,2022-07-06,2022-08-09,37,MAN-2022-47941,COSU4346315|YMLU6388299|YMLU1992583|MSKU4896008,REEFER 40',4,20813.9,60.27,86,5,1:6203.42.00:Pantalones de mezclilla:327:1144571.94USD | 2:8544.42.00:Conductores eléctricos con conector:52:322680.28USD | 3:8517.12.00:Teléfonos inteligentes:368:2609609.44USD | 4:2710.12.00:Gasolina:349:4035759.22USD | 5:4011.10.00:Neumáticos para automóviles:3:43404.42USD,8156025.3,643473.98,53661.84,8853161.12,15.0,1327974.17,1018113.53,2346087.7,USD,ROJO,ACEPTADO,2022-08-13
IMP-CL-2022-0000036,2022-08-08,CL,IQUIQUE,Enap Refinerías S.A.,36.611.127-7,IT,MARITIMO,CMA CGM,YANG MING WIND,CMA424211872,ANTWERP,2022-07-11,2022-08-06,28,MAN-2022-53204,YMLU4240708|TCKU7802999|OOLU9644974,HC 40',3,2885.3,48.5,388,4,1:3901.20.00:Polietileno de alta densidad:436:3299713.40USD | 2:2710.12.00:Gasolina:140:406033.60USD | 3:7606.11.00:Chapas y hojas de aluminio:58:288083.10USD | 4:8429.51.00:Cargadores frontales:375:2583423.75USD,6577253.85,281922.44,45133.05,6904309.34,15.0,1035646.4,1508591.59,2544237.99,USD,ROJO,ACEPTADO,2022-08-13
IMP-CL-2022-0000037,2022-01-24,CL,PUERTO MONTT,Codelco Chile,38.214.247-K,DE,MARITIMO,HMM,PACIFIC CARRIER,HMM579691987,VALENCIA,2021-12-29,2022-01-21,26,MAN-2022-78879,EISU4705235|HLXU3240912|COSU3570027,REEFER 20',3,21062.7,44.37,861,3,1:6203.42.00:Pantalones de mezclilla:239:1101558.17USD | 2:8517.12.00:Teléfonos inteligentes:208:2141201.92USD | 3:8474.20.00:Maquinaria trituradora de minerales:473:6351358.86USD,9594118.95,625324.06,77806.19,10297249.2,0.0,0.0,1956477.35,1956477.35,USD,AMARILLO,LIQUIDADO,2022-01-29
IMP-ES-2022-0000038,2022-06-09,ES,ALGECIRAS,Inditex S.A.,ES63143336J,CN,MARITIMO,Maersk Line,HMM ALGECIRAS,MAER720956992,BARCELONA,2022-05-04,2022-06-08,36,MAN-2022-38560,MSKU4446065|TRHU9201172|MSKU9562677|COSU1933413,REEFER 20',4,4128.5,32.0,1164,1,1:3901.20.00:Polietileno de alta densidad:463:3512896.75USD,3512896.75,205979.0,22828.64,3741704.39,6.0,224502.26,832903.4,1057405.66,EUR,AMARILLO,ACEPTADO,2022-06-10
IMP-CL-2024-0000039,2024-05-17,CL,VALPARAISO,Minera Collahuasi S.A.,77.109.613-6,KR,MARITIMO,MSC,MSC OSCAR,MSC996382881,ROTTERDAM,2024-04-18,2024-05-14,29,MAN-2024-39188,OOLU4019585|TCKU8052503|EISU7416943,REEFER 20',3,24414.6,63.94,779,1,1:3901.20.00:Polietileno de alta densidad:31:434601.40USD,434601.4,14537.83,6231.21,455370.44,0.0,0.0,86520.38,86520.38,USD,AMARILLO,ACEPTADO,2024-05-18
IMP-CL-2023-0000040,2023-09-04,CL,VALPARAISO,Codelco Chile,12.575.790-2,FR,MARITIMO,COSCO Shipping,MAERSK MC-KINNEY MOLLER,COSC975943821,SHENZHEN,2023-08-03,2023-09-01,32,MAN-2023-40692,HLXU2128954|MSKU1563316,REEFER 20',2,16939.1,50.71,109,5,1:3002.20.00:Vacunas para medicina humana:236:1226947.48USD | 2:3901.20.00:Polietileno de alta densidad:142:402615.44USD | 3:3004.90.00:Medicamentos para uso humano:449:4884271.39USD | 4:6203.42.00:Pantalones de mezclilla:58:28590.52USD | 5:2710.12.00:Gasolina:339:2133808.38USD,8676233.21,592609.92,120057.95,9388901.08,0.0,0.0,1783891.21,1783891.21,USD,VERDE,ACEPTADO,2023-09-09
IMP-CL-2023-0000041,2023-10-19,CL,IQUIQUE,Arauco y Constitución S.A.,12.734.153-8,TH,MARITIMO,Yang Ming,EVER GIVEN,YANG698382096,HONG KONG,2023-09-24,2023-10-17,25,MAN-2023-64592,APHU9315137|MSCU6778321|OOLU9799030|EISU7984768,REEFER 20',4,4603.5,29.47,1111,2,1:2710.12.00:Gasolina:212:957076.12USD | 2:6203.42.00:Pantalones de mezclilla:32:267366.40USD,1224442.52,72956.39,15124.46,1312523.37,6.0,78751.4,264342.21,343093.61,USD,VERDE,LIQUIDADO,2023-10-24
